square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07
s-01,-30,-32,-19,-88,-48,-48,-50,-48
s-01,-32,-32,-52,-44,-48,-52,-50,-40
s-01,-32,-32,-19,-42,-48,-48,-48,-42
s-01,-32,-34,-19,-42,-48,-48,-52,-44
s-01,-88,-32,-19,-42,-48,-48,-52,-42
s-01,-88,-48,-20,-46,-48,-48,-50,-44
s-01,-30,-34,-19,-80,-48,-50,-50,-44
s-01,-32,-34,-19,-42,-48,-50,-52,-42
s-01,-34,-32,-19,-44,-48,-48,-50,-42
s-01,-30,-32,-90,-42,-48,-52,-52,-42
s-01,-30,-32,-19,-44,-48,-50,-52,-42
s-01,-48,-34,-19,-44,-48,-50,-50,-42
s-01,-30,-32,-17,-44,-50,-50,-50,-44
s-01,-32,-34,-17,-44,-46,-50,-48,-42
s-01,-28,-32,-19,-44,-46,-50,-50,-42
s-01,-30,-32,-17,-42,-48,-50,-50,-44
s-01,-30,-36,-19,-42,-48,-50,-48,-44
s-01,-44,-36,-19,-44,-48,-50,-50,-44
s-01,-30,-32,-20,-42,-48,-52,-52,-40
s-01,-32,-32,-17,-44,-50,-50,-48,-44
s-01,-50,-32,-17,-44,-48,-50,-50,-44
s-01,-32,-90,-19,-76,-46,-52,-50,-44
s-01,-90,-34,-19,-46,-46,-48,-50,-48
s-01,-30,-34,-28,-42,-48,-48,-50,-48
s-01,-30,-36,-19,-42,-46,-52,-48,-48
s-01,-30,-34,-19,-46,-46,-50,-50,-46
s-01,-30,-32,-19,-42,-46,-50,-52,-44
s-01,-30,-34,-19,-42,-46,-48,-50,-44
s-01,-30,-32,-19,-42,-50,-50,-50,-46
s-01,-30,-32,-28,-42,-48,-50,-50,-44
s-01,-52,-32,-20,-42,-48,-48,-48,-42
s-01,-30,-32,-17,-40,-48,-48,-52,-44
s-01,-32,-36,-19,-60,-46,-52,-76,-44
s-01,-30,-32,-19,-42,-46,-52,-52,-44
s-01,-32,-34,-19,-40,-48,-52,-50,-44
s-01,-30,-32,-20,-48,-48,-52,-50,-44
