square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-01,-38,-20,-36,-32,-62,-54,-50,-60,-60,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-32,-62,-54,-50,-60,-58,D8:07:B6:6E:4E:F4
s-01,-36,-20,-34,-32,-62,-54,-50,-60,-58,D8:07:B6:6E:4E:F4
s-01,-38,-20,-34,-40,-62,-54,-50,-60,-58,D8:07:B6:6E:4E:F4
s-01,-38,-60,-34,-36,-56,-54,-50,-60,-58,D8:07:B6:6E:4F:80
s-01,-40,-22,-34,-32,-62,-54,-50,-60,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-80,-36,-58,-54,-50,-60,-64,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-32,-58,-54,-50,-60,-64,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-30,-58,-54,-50,-60,-62,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-28,-72,-54,-50,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-34,-60,-58,-60,-70,-62,D8:07:B6:6E:4E:F4
s-01,-60,-22,-36,-32,-68,-58,-48,-58,-62,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-32,-68,-56,-48,-58,-62,D8:07:B6:6E:4E:F4
s-01,-38,-28,-34,-30,-68,-56,-46,-58,-58,D8:07:B6:6E:4E:F4
s-01,-38,-20,-38,-32,-68,-58,-48,-60,-58,D8:07:B6:6E:4E:F4
s-01,-38,-20,-40,-32,-62,-58,-50,-60,-58,D8:07:B6:6E:4E:F4
s-01,-38,-20,-40,-32,-60,-56,-48,-60,-64,D8:07:B6:6E:4E:F4
s-01,-38,-60,-36,-32,-60,-58,-48,-60,-64,D8:07:B6:6E:4E:0A
s-01,-38,-20,-38,-28,-60,-58,-48,-60,-64,D8:07:B6:6E:4E:F4
s-01,-40,-20,-40,-28,-58,-58,-48,-60,-56,D8:07:B6:6E:4E:F4
s-01,-60,-24,-36,-32,-68,-58,-48,-60,-64,D8:07:B6:6E:4E:F4
s-01,-60,-20,-36,-30,-58,-58,-48,-62,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-32,-60,-56,-48,-62,-64,D8:07:B6:6E:4E:F4
s-01,-38,-60,-38,-32,-76,-58,-48,-68,-64,D8:07:B6:6E:4E:0A
s-01,-38,-20,-38,-32,-60,-60,-46,-68,-64,D8:07:B6:6E:4E:F4
s-01,-38,-24,-40,-32,-60,-56,-46,-60,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-40,-32,-60,-56,-46,-60,-62,D8:07:B6:6E:4E:F4
s-01,-40,-22,-38,-32,-60,-58,-48,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-58,-62,-56,-48,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-38,-32,-62,-56,-46,-60,-62,D8:07:B6:6E:4E:F4
s-01,-36,-24,-36,-32,-58,-56,-48,-56,-62,D8:07:B6:6E:4E:F4
s-01,-38,-28,-38,-32,-76,-58,-46,-68,-62,D8:07:B6:6E:4E:F4
s-01,-38,-64,-36,-32,-76,-58,-46,-60,-62,D8:07:B6:6E:4E:0A
s-01,-38,-20,-36,-34,-76,-56,-46,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-34,-58,-56,-46,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-32,-60,-58,-46,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-60,-36,-32,-60,-60,-46,-60,-62,D8:07:B6:6E:4E:0A
s-01,-38,-22,-36,-32,-60,-60,-44,-64,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-32,-60,-56,-44,-64,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-36,-60,-58,-46,-62,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-38,-36,-60,-58,-46,-62,-62,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-36,-60,-58,-46,-60,-72,D8:07:B6:6E:4E:F4
s-01,-36,-60,-34,-32,-60,-58,-46,-60,-62,D8:07:B6:6E:4E:0A
s-01,-36,-22,-36,-32,-56,-58,-46,-66,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-32,-62,-54,-46,-66,-60,D8:07:B6:6E:4E:F4
s-01,-68,-22,-38,-32,-62,-54,-46,-66,-62,D8:07:B6:6E:4E:F4
s-01,-68,-22,-36,-30,-60,-54,-46,-66,-60,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-30,-60,-54,-46,-66,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-38,-30,-60,-54,-46,-66,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-32,-58,-56,-46,-60,-62,D8:07:B6:6E:4E:F4
s-01,-60,-70,-36,-32,-60,-56,-46,-62,-62,D8:07:B6:6E:4E:0A
s-01,-38,-20,-36,-32,-60,-56,-48,-68,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-34,-58,-56,-44,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-32,-58,-56,-44,-60,-62,D8:07:B6:6E:4E:F4
s-01,-36,-20,-36,-36,-60,-56,-44,-60,-64,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-32,-60,-56,-46,-60,-56,D8:07:B6:6E:4E:F4
s-01,-38,-22,-68,-32,-62,-56,-46,-60,-56,D8:07:B6:6E:4E:F4
s-01,-38,-20,-42,-30,-62,-56,-46,-60,-56,D8:07:B6:6E:4E:F4
s-01,-40,-20,-36,-32,-62,-56,-48,-60,-56,D8:07:B6:6E:4E:F4
s-01,-36,-20,-36,-32,-62,-56,-48,-58,-64,D8:07:B6:6E:4E:F4
s-01,-38,-28,-36,-32,-66,-56,-48,-60,-58,D8:07:B6:6E:4E:F4
s-01,-38,-68,-36,-30,-66,-56,-48,-60,-58,D8:07:B6:6E:4E:0A
s-01,-36,-22,-36,-30,-66,-56,-48,-62,-58,D8:07:B6:6E:4E:F4
s-01,-70,-20,-36,-32,-58,-56,-48,-62,-58,D8:07:B6:6E:4E:F4
s-01,-38,-20,-34,-32,-62,-56,-48,-62,-58,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-32,-62,-56,-48,-62,-64,D8:07:B6:6E:4E:F4
s-01,-38,-22,-84,-34,-62,-56,-48,-62,-56,D8:07:B6:6E:4E:F4
s-01,-60,-20,-84,-38,-62,-56,-48,-62,-56,D8:07:B6:6E:4E:F4
s-01,-60,-22,-36,-32,-62,-56,-48,-58,-62,D8:07:B6:6E:4E:F4
s-01,-60,-20,-38,-32,-60,-56,-60,-68,-56,D8:07:B6:6E:4E:F4
s-01,-38,-20,-38,-34,-60,-58,-64,-60,-62,D8:07:B6:6E:4E:F4
s-01,-40,-20,-38,-34,-60,-56,-64,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-32,-60,-58,-50,-58,-62,D8:07:B6:6E:4E:F4
s-01,-40,-20,-36,-32,-58,-58,-50,-64,-64,D8:07:B6:6E:4E:F4
s-01,-36,-20,-34,-32,-60,-58,-50,-64,-56,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-32,-60,-58,-50,-62,-64,D8:07:B6:6E:4E:F4
s-01,-38,-64,-36,-34,-64,-58,-50,-62,-64,D8:07:B6:6E:4E:0A
s-01,-36,-22,-36,-34,-62,-58,-46,-62,-64,D8:07:B6:6E:4E:F4
s-01,-36,-20,-36,-34,-62,-58,-50,-60,-62,D8:07:B6:6E:4E:F4
s-01,-36,-60,-40,-34,-64,-58,-50,-60,-58,D8:07:B6:6E:4E:0A
