square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07
s-02,-48,-46,-48,-40,-42,-60,-28,-32
s-02,-42,-46,-48,-42,-44,-62,-32,-32
s-02,-46,-46,-50,-44,-44,-62,-28,-32
s-02,-48,-46,-50,-40,-44,-60,-28,-32
s-02,-42,-44,-50,-48,-46,-60,-28,-34
s-02,-44,-44,-48,-44,-42,-60,-28,-32
s-02,-48,-44,-50,-42,-48,-60,-28,-32
s-02,-46,-44,-48,-40,-48,-58,-28,-32
s-02,-46,-44,-48,-52,-44,-58,-28,-32
s-02,-46,-44,-48,-52,-46,-60,-30,-32
s-02,-42,-44,-48,-52,-44,-60,-28,-32
s-02,-46,-46,-48,-52,-44,-60,-44,-32
s-02,-48,-46,-48,-52,-44,-60,-30,-32
s-02,-66,-46,-50,-52,-52,-50,-28,-32
s-02,-46,-46,-46,-48,-44,-62,-28,-32
s-02,-46,-46,-46,-48,-46,-62,-26,-32
s-02,-48,-46,-46,-48,-48,-62,-28,-32
s-02,-48,-44,-46,-56,-48,-62,-28,-32
s-02,-46,-48,-46,-56,-48,-62,-28,-32
s-02,-48,-48,-46,-54,-76,-60,-46,-68
s-02,-48,-46,-46,-54,-48,-60,-28,-32
s-02,-46,-48,-46,-54,-48,-60,-28,-32
s-02,-48,-48,-46,-54,-48,-60,-26,-32
s-02,-48,-48,-46,-54,-52,-60,-28,-32
s-02,-48,-48,-48,-52,-48,-60,-28,-32
s-02,-50,-60,-44,-54,-48,-62,-44,-34
s-02,-46,-44,-44,-56,-46,-62,-28,-34
s-02,-48,-44,-44,-54,-46,-64,-44,-32
s-02,-42,-48,-46,-54,-46,-64,-26,-32
s-02,-46,-48,-46,-54,-48,-64,-28,-32
s-02,-46,-48,-46,-54,-52,-60,-28,-34
