square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-03,-40,-40,-32,-28,-56,-46,-48,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-36,-48,-30,-56,-46,-48,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-32,-28,-56,-46,-46,-48,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-60,-56,-46,-46,-48,-60,D8:07:B6:6E:4F:80
s-03,-40,-40,-30,-60,-56,-46,-46,-46,-60,D8:07:B6:6E:4F:80
s-03,-40,-40,-30,-60,-56,-46,-46,-46,-60,D8:07:B6:6E:4F:80
s-03,-40,-36,-30,-28,-56,-46,-72,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-44,-28,-56,-48,-46,-46,-60,D8:07:B6:6E:4E:0A
s-03,-42,-38,-58,-44,-56,-48,-60,-46,-60,D8:07:B6:6E:4E:F4
s-03,-42,-38,-58,-28,-48,-48,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-38,-40,-32,-28,-54,-48,-46,-46,-60,D8:07:B6:6E:4E:0A
s-03,-38,-44,-32,-30,-54,-46,-46,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-44,-30,-28,-54,-46,-44,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-54,-46,-44,-46,-60,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-46,-46,-44,-46,-66,D8:07:B6:6E:4E:0A
s-03,-42,-36,-32,-28,-54,-46,-46,-48,-66,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-56,-46,-46,-48,-68,D8:07:B6:6E:4E:0A
s-03,-40,-36,-30,-28,-70,-46,-46,-48,-68,D8:07:B6:6E:4E:0A
s-03,-40,-36,-32,-28,-70,-46,-46,-48,-68,D8:07:B6:6E:4E:0A
s-03,-40,-36,-32,-32,-70,-46,-46,-48,-68,D8:07:B6:6E:4E:0A
s-03,-40,-36,-28,-28,-70,-46,-46,-46,-56,D8:07:B6:6E:4E:0A
s-03,-40,-36,-30,-28,-76,-46,-46,-60,-64,D8:07:B6:6E:4E:0A
s-03,-40,-40,-28,-28,-56,-48,-46,-46,-64,D8:07:B6:6E:4E:0A
s-03,-40,-40,-28,-28,-56,-48,-46,-46,-66,D8:07:B6:6E:4E:0A
s-03,-40,-40,-32,-28,-56,-48,-46,-46,-66,D8:07:B6:6E:4E:0A
s-03,-68,-56,-30,-44,-56,-48,-46,-46,-66,D8:07:B6:6E:4F:80
s-03,-40,-46,-32,-28,-76,-56,-44,-46,-66,D8:07:B6:6E:4E:0A
s-03,-42,-40,-32,-28,-54,-56,-44,-44,-66,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-30,-54,-56,-44,-44,-64,D8:07:B6:6E:4E:0A
s-03,-40,-36,-30,-30,-56,-56,-44,-44,-64,D8:07:B6:6E:4E:0A
s-03,-42,-38,-42,-28,-56,-48,-44,-44,-64,D8:07:B6:6E:4E:0A
s-03,-40,-40,-42,-28,-60,-48,-42,-74,-54,D8:07:B6:6E:4E:0A
s-03,-40,-40,-52,-48,-60,-48,-42,-74,-54,D8:07:B6:6E:4E:F4
